Movie,Year,Rate_All Ages,Rate_<18,Rate_18-29,Rate_30-44,Rate_45+,Number_All Ages,Number_<18,Number_18-29,Number_30-44,Number_45+
A Quiet Place,2018,7.5,7.6,7.6,7.4,7.4,489831,498,89041,154844,40616
Godzilla,1954,7.6,7.9,7.8,7.5,7.3,32428,32,4824,12546,6129
The Fly,1986,7.6,8,7.7,7.6,7.5,171639,58,17814,79829,30968
Psycho,1960,8.5,8.8,8.6,8.5,8.5,639113,371,101170,244362,90742
Deep Red,1975,7.6,7.4,7.7,7.6,7.4,36189,20,3991,16252,7145
28 Days Later...,2002,7.6,7.6,7.5,7.6,7.4,396869,103,51376,199218,47475
The Others,2001,7.6,7.9,7.7,7.6,7.6,354012,94,44909,171318,48082
Train to Busan,2016,7.6,8,7.7,7.5,7.5,197324,197,37542,67501,16014
American Psycho,2000,7.6,8,7.7,7.6,7.2,537885,307,99056,234732,43759
The Lighthouse,2019,7.5,8.2,7.8,7.2,6.7,179586,244,35824,53200,15148
Saw,2004,7.6,7.9,7.6,7.7,7.3,402147,221,64247,199706,34838
Stree,2018,7.6,7.5,7.6,7.4,6.6,32065,48,7207,7722,598
Zombieland,2009,7.6,7.5,7.6,7.6,7.4,548553,265,106664,246177,48074
The Skin I Live In,2011,7.6,7.9,7.8,7.6,7.3,146999,30,23259,75818,17006
The Invisible Man,1933,7.7,7.9,7.7,7.6,7.6,33598,27,3854,12063,8932
The Conjuring,2013,7.5,7.7,7.6,7.5,7.3,480934,357,103940,179286,36152
Last Night in Soho,2021,7.2,7.9,7.3,7,7.1,60925,96,11648,17489,5117
The Wolf Man,1941,7.3,7.1,7.3,7.2,7.4,26001,21,2691,9789,6897
10 Cloverfield Lane,2016,7.2,7.2,7.4,7.2,7.1,309277,104,54653,122291,30528
Poltergeist,1982,7.3,7.5,7.1,7.3,7.6,155306,99,16769,64364,31293
Angel Heart,1987,7.3,7,7.2,7.2,7.4,85256,11,5801,36571,22997
The Lost Boys,1987,7.3,8.1,7.2,7.2,7.3,134509,36,10626,58701,28941
They Live,1988,7.3,7.7,7.3,7.3,7.2,122503,40,13222,54574,22697
The Return of the Living Dead,1985,7.3,7.9,7.4,7.3,7.3,58774,9,4672,27260,12552
Sleepy Hollow,1999,7.3,7.3,7.3,7.3,7.3,347470,80,40977,171311,45969
