Name,Year,Rating,User_Type,vote10,vote9,vote8,vote7,vote6,vote5,vote4,vote3,vote2,vote1
The Lighthouse,2019,7.5,IMDb Users,21413,29629,48256,37827,18885,9223,4841,3132,2268,3743
A Quiet Place,2018,7.5,IMDb Users,54103,75677,152430,118066,47978,18678,8604,5048,3367,5649
The Conjuring,2013,7.5,IMDb Users,61822,70986,145724,120266,48014,17467,7025,3644,2187,3614
American Psycho,2000,7.6,IMDb Users,62803,84728,168004,131072,51486,19245,8347,4427,2934,4419
Psycho,1960,8.5,IMDb Users,154176,178106,173392,81863,26755,10529,4706,2575,1848,4906
Tucker and Dale vs Evil,2010,7.5,IMDb Users,20262,24219,55340,45710,17270,5722,2096,1037,574,1075
The Others,2001,7.6,IMDb Users,38695,54763,116111,88569,33707,11832,4453,2178,1324,2297
The Fly,1986,7.6,IMDb Users,15131,22396,57257,47844,17476,6099,2360,1239,654,1101
Train to Busan,2016,7.6,IMDb Users,23812,30003,63720,50651,17760,5889,2273,1098,680,1258
Saw,2004,7.6,IMDb Users,55673,61187,126429,89916,34342,14455,6670,4026,2836,6490
Zombieland,2009,7.6,IMDb Users,60081,80268,181413,142128,51956,17151,6419,3306,2025,3648
The Wailing,2016,7.5,IMDb Users,5941,9754,18639,14986,6444,2915,1252,706,410,864
Deep Red,1975,7.6,IMDb Users,5438,5389,9927,7762,3902,1780,770,427,295,487
The Invisible Man,1933,7.7,IMDb Users,4187,4521,10930,8332,3108,1052,432,166,87,771
Stree,2018,7.6,IMDb Users,6338,5745,8468,6493,2606,979,421,276,167,547
The Skin I Live In,2011,7.6,IMDb Users,14476,24583,48841,34941,12941,5077,2231,1257,846,1753
Hellboy II: The Golden Army,2008,7.0,IMDb Users,19409,21692,60000,86564,45170,16789,6606,3210,1873,2897
10 Cloverfield Lane,2016,7.2,IMDb Users,15672,29583,88296,102379,43910,15370,5816,3122,1841,3172
Cloverfield,2008,7.0,IMDb Users,38003,41525,86702,102258,55471,25288,12411,7539,5466,11488
Orphan,2009,7.0,IMDb Users,17254,18284,45547,64549,34064,13716,5778,2872,1679,2491
28 Days Later...,2002,7.6,IMDb Users,40836,58984,129379,100814,37837,14177,6088,3250,2056,3367
Planet Terror,2007,7.0,IMDb Users,19072,21394,50032,56580,29463,13110,6096,3651,2422,4358
World War Z,2013,7.0,IMDb Users,43926,53494,145586,203896,106163,41863,17120,8832,4947,7235
Green Room,2015,7.0,IMDb Users,5594,9989,28005,36513,19513,8363,3399,1817,1105,1801
The Killing of a Sacred Deer,2017,7.0,IMDb Users,7935,15618,35034,37692,18682,9045,4511,3079,2503,5434
Raw,2016,7.0,IMDb Users,4051,7070,17232,20063,10571,4848,2332,1387,917,1667
Trollhunter,2010,7.0,IMDb Users,5227,6500,17059,21983,11447,4676,2149,1191,769,1142
A Girl Walks Home Alone at Night,2014,7.0,IMDb Users,2460,3613,8480,9251,4985,2357,1057,664,412,775
The Cabin in the Woods,2011,7.0,IMDb Users,35416,43281,88080,100622,55884,28700,15502,10044,7216,13693
The Descent,2005,7.2,IMDb Users,20811,25349,54667,57237,28939,12783,5926,3351,2025,3400
The Platform,2019,7.0,IMDb Users,11311,18102,46435,63001,31236,12705,5271,2865,1696,3448
Thelma,2017,7.0,IMDb Users,1616,2581,7057,9433,5105,1997,758,398,270,566
Zombie,1979,6.8,IMDb Users,3288,2307,5174,6827,4491,2237,1154,620,424,586
Scanners,1981,6.8,IMDb Users,2885,3237,10044,17338,11208,4476,1804,805,424,484
Antichrist,2009,6.6,IMDb Users,11225,13543,22914,25790,18185,10858,6315,4242,3338,6053
The Fog,1980,6.8,IMDb Users,5950,5013,13092,21098,14272,6120,2544,1237,595,666
Halloween,2018,6.6,IMDb Users,11099,8797,23984,37736,29144,14606,6626,3669,2218,3462
Pontypool,2008,6.6,IMDb Users,2089,2428,5809,8364,5738,2858,1544,899,575,820
Dead Calm,1989,6.8,IMDb Users,2005,2250,7556,13690,8294,3120,1164,459,278,369
You're Next,2011,6.6,IMDb Users,5682,5710,15870,27663,20514,9665,4408,2350,1422,1826
The Loved Ones,2009,6.6,IMDb Users,2764,2962,7232,11157,7615,3526,1764,960,702,1062
Phenomena,1985,6.8,IMDb Users,2319,2078,4777,7015,4644,2181,1049,577,368,379
Insidious: Chapter 2,2013,6.6,IMDb Users,14173,10634,26838,46907,35894,15982,7015,3107,1794,2151
Overlord,2018,6.6,IMDb Users,4292,4625,16223,30788,21839,8785,3417,1687,957,1534
Bird Box,2018,6.6,IMDb Users,17404,18183,53479,93584,67724,29739,13013,7220,4283,5908
Hush,2016,6.6,IMDb Users,6249,6485,20207,38165,27875,11628,4878,2265,1352,1783
The Girl with All the Gifts,2016,6.6,IMDb Users,2294,3231,10403,18543,13331,5559,2190,1044,581,933
