Name,Year,Rate,Genre,Country,Budget,Gross Worldwide
Psycho,1960,8.5,"Horror,Mystery,Thriller",United States,806947,32041845
The Wailing,2016,7.5,"Horror,Mystery,Thriller",South Korea,6420000,49851770
A Quiet Place,2018,7.5,"Drama,Horror,Sci-Fi",United States,17000000,340952971
The Lighthouse,2019,7.5,"Drama,Fantasy,Horror,Mystery",Canada,11000000,18124206
Saw,2004,7.6,"Horror,Mystery,Thriller",United States,1200000,103911669
28 Days Later...,2002,7.6,"Drama,Horror,Sci-Fi,Thriller",United Kingdom,8000000,85720385
The Others,2001,7.6,"Horror,Mystery,Thriller",Spain,17000000,209947037
Godzilla,1954,7.6,"Horror,Sci-Fi",Japan,175000,562711
The Fly,1986,7.6,"Drama,Horror,Sci-Fi",United States,15000000,60629159
American Psycho,2000,7.6,"Crime,Drama,Horror",United States,7000000,34266564
Zombieland,2009,7.6,"Action,Comedy,Horror",United States,23600000,102392080
Invasion of the Body Snatchers,1956,7.7,"Drama,Horror,Sci-Fi",United States,417000,1861
The Invisible Man,1933,7.7,"Horror,Sci-Fi",United States,328033,27105
10 Cloverfield Lane,2016,7.2,"Action,Drama,Horror,Sci-Fi,Thriller",United States,15000000,110216998
The Wolf Man,1941,7.3,"Horror,Mystery,Romance",United States,180000,420
Gremlins,1984,7.3,"Comedy,Fantasy,Horror",United States,11000000,153633143
Poltergeist,1982,7.3,"Horror,Thriller",United States,10700000,77142388
Last Night in Soho,2021,7.2,"Drama,Horror,Mystery,Thriller",United Kingdom,43000000,22957625
Twin Peaks: Fire Walk with Me,1992,7.3,"Drama,Horror,Mystery,Thriller",France,10000000,4184990
They Live,1988,7.3,"Action,Horror,Sci-Fi,Thriller",United States,4000000,13008928
Scream,1996,7.3,"Horror,Mystery",United States,14000000,173046663
Angel Heart,1987,7.3,"Horror,Mystery,Thriller",United Kingdom,17000000,17186348
Sleepy Hollow,1999,7.3,"Fantasy,Horror,Mystery",United States,100000000,206071502
The Return of the Living Dead,1985,7.3,"Comedy,Horror,Sci-Fi",United States,4000000,14237880
Dawn of the Dead,2004,7.3,"Action,Horror",United States,26000000,102278712
Dead Ringers,1988,7.3,"Drama,Horror,Thriller",Canada,13000000,8038508
Sweeney Todd: The Demon Barber of Fleet Street,2007,7.3,"Drama,Horror,Musical,Thriller",United States,50000000,153383627
World War Z,2013,7.0,"Action,Adventure,Horror,Sci-Fi",United States,190000000,540455876
Cloverfield,2008,7.0,"Action,Horror,Sci-Fi,Thriller",United States,25000000,172394180
The Cabin in the Woods,2011,7.0,"Horror,Mystery,Thriller",United States,30000000,70055998
Green Room,2015,7.0,"Horror,Thriller",United States,5000000,3769214
The Fog,1980,6.8,"Horror,Thriller",United States,1000000,21448782
From Hell,2001,6.8,"Horror,Mystery,Thriller",United States,35000000,74558115
Dead Calm,1989,6.8,"Horror,Thriller",Australia,10400000,7825009
Hellboy II: The Golden Army,2008,7.0,"Action,Adventure,Fantasy,Horror,Mystery,Sci-Fi",United States,85000000,168319243
Ginger Snaps,2000,6.8,"Drama,Fantasy,Horror",Canada,5000000,2554
eXistenZ,1999,6.8,"Horror,Mystery,Sci-Fi,Thriller",United Kingdom,15000000,2856712
The Devil's Rejects,2005,6.8,"Crime,Horror,Western",United States,7000000,20901859
Dog Soldiers,2002,6.8,"Action,Horror,Thriller",United Kingdom,2000000,3537283
1408,2007,6.8,"Fantasy,Horror,Mystery",United States,25000000,132963417
Halloween,2018,6.6,"Crime,Horror,Thriller",United States,10000000,255614941
Pontypool,2008,6.6,"Fantasy,Horror,Thriller",Canada,1500000,32118
Overlord,2018,6.6,"Action,Horror,Sci-Fi,War",United States,38000000,41657844
You're Next,2011,6.6,"Horror,Thriller",United States,1000000,26895481
Mother!,2017,6.6,"Drama,Horror,Mystery",United States,30000000,44516999
Life,2017,6.6,"Horror,Sci-Fi,Thriller",United Kingdom,58000000,100541806
Happy Death Day,2017,6.6,"Comedy,Horror,Mystery,Thriller",United States,4800000,125479266
Mandy,2018,6.6,"Action,Fantasy,Horror",United Kingdom,6000000,1555203
Insidious: Chapter 2,2013,6.6,"Horror,Mystery,Thriller",United States,5000000,161919318
New Nightmare,1994,6.5,"Fantasy,Horror,Mystery,Thriller",United States,8000000,19721741
Alien 3,1992,6.5,"Action,Horror,Sci-Fi",United States,50000000,159814498
The Prophecy,1995,6.5,"Action,Crime,Drama,Fantasy,Horror,Mystery,Thriller",United States,8000000,16115878
The Blair Witch Project,1999,6.5,"Horror,Mystery",United States,60000,248639099
The Faculty,1998,6.5,"Horror,Mystery,Sci-Fi",United States,15000000,40283321
Silent Hill,2006,6.5,"Horror,Mystery",Canada,50000000,100605135
The Skeleton Key,2005,6.5,"Drama,Horror,Mystery,Thriller",United States,43000000,93983911
Dnevnoy dozor,2006,6.5,"Action,Fantasy,Horror,Thriller",Russia,4200000,42918532
Tideland,2005,6.5,"Drama,Fantasy,Horror",United Kingdom,19300000,566611
Lights Out,2016,6.3,"Drama,Horror,Mystery,Thriller",United States,4900000,148868835
Slither,2006,6.5,"Comedy,Horror,Sci-Fi",Canada,15000000,12834936
Hotel Transylvania 3: Summer Vacation,2018,6.3,"Animation,Adventure,Comedy,Family,Fantasy,Horror",United States,80000000,528583774
Arachnophobia,1990,6.4,"Comedy,Horror,Thriller",United States,22000000,53208180
Haunt,2019,6.3,"Horror,Thriller",United States,5000000,2243353
Gremlins 2: The New Batch,1990,6.4,"Comedy,Fantasy,Horror",United States,50000000,41482207
Silver Bullet,1985,6.4,Horror,United States,7000000,12361866
Friday the 13th,1980,6.4,"Horror,Mystery,Thriller",United States,550000,39754601
Dead Silence,2007,6.2,"Horror,Mystery,Thriller",United States,20000000,22382047
Vacancy,2007,6.2,"Horror,Thriller",United States,19000000,35442935
Resident Evil: Extinction,2007,6.2,"Action,Adventure,Fantasy,Horror,Sci-Fi,Thriller",Germany,45000000,147717833
Saw III,2006,6.2,"Crime,Horror,Mystery,Thriller",Canada,10000000,164874275
The Strangers,2008,6.2,"Horror,Mystery,Thriller",United States,9000000,82410456
Case 39,2009,6.2,"Horror,Mystery,Thriller",United States,26000000,28190603
Scream 4,2011,6.2,"Horror,Mystery",United States,40000000,97231420
Dark Shadows,2012,6.2,"Comedy,Fantasy,Horror",United States,150000000,245527149
Frontier(s),2007,6.2,Horror,France,3000000,2783535
The Thing,2011,6.2,"Horror,Mystery,Sci-Fi",Canada,38000000,31505287
Devil,2010,6.2,"Horror,Mystery,Thriller",United States,10000000,62695489
Red State,2011,6.2,"Action,Crime,Horror,Thriller",United States,4000000,1874460
Mama,2013,6.2,"Fantasy,Horror,Thriller",Canada,15000000,146428180
Land of the Dead,2005,6.2,"Horror,Sci-Fi,Thriller",United States,15000000,47074133
Victor Frankenstein,2015,6.0,"Drama,Horror,Sci-Fi,Thriller",United Kingdom,65000000,34227298
The Taking of Deborah Logan,2014,6.0,"Horror,Mystery,Thriller",United States,1500000,407782
The Boy,2016,6.0,"Horror,Mystery,Thriller",United States,10000000,73929392
The Conjuring: The Devil Made Me Do It,2021,6.3,"Horror,Mystery,Thriller",United States,39000000,201965074
The Purge: Election Year,2016,6.0,"Action,Horror,Sci-Fi,Thriller",United States,10000000,118587880
Captive State,2019,6.0,"Action,Horror,Sci-Fi,Thriller",United States,25000000,8808611
Cujo,1983,6.1,"Horror,Thriller",United States,5000000,21156152
Unfriended: Dark Web,2018,6.0,"Horror,Mystery,Thriller",United States,1000000,16024987
Critters,1986,6.1,"Comedy,Horror,Sci-Fi",United States,2000000,13167232
Friday the 13th Part 2,1981,6.1,"Horror,Mystery,Thriller",United States,1250000,21722776
Saw VI,2009,6.0,"Horror,Mystery,Thriller",Canada,11000000,68234154
Resident Evil: Afterlife,2010,5.8,"Action,Adventure,Fantasy,Horror,Sci-Fi,Thriller",Germany,60000000,300228084
Pride and Prejudice and Zombies,2016,5.8,"Action,Comedy,Fantasy,Horror,Romance",United States,28000000,16457494
Saw V,2008,5.8,"Crime,Horror,Mystery,Thriller",United States,10800000,113864059
The Divide,2011,5.8,"Drama,Horror,Sci-Fi,Thriller",United States,3000000,145676
Rubber,2010,5.8,"Comedy,Fantasy,Horror",France,500000,101729
The Addams Family,2019,5.8,"Animation,Comedy,Family,Fantasy,Horror",Canada,24000000,203783845
The Neon Demon,2016,6.2,"Horror,Thriller",United States,7000000,3377430
