Name,Year,User_Type,Rating,vote10f,vote9f,vote8f,vote7f,vote6f,vote5f,vote4f,vote3f,vote2f,vote1f,Rate_Female,Rate_<18f,Rate_18-29f,Rate_30-44f,Rate_45+f,Number_Female,Number_<18f,Number_18-29f,Number_30-44f,Number_45+f
A Quiet Place,2018,females,7.6,9106,10672,17895,13855,5971,2456,1121,694,508,713,7.6,7.5,7.7,7.5,7.6,62991,101,20310,27873,6866
The Wailing,2016,females,7.2,507,800,1675,1549,693,388,154,70,57,112,7.2,7.2,7.4,7.1,7.0,6005,6,1756,3000,662
Tucker and Dale vs Evil,2010,females,7.6,3158,2960,5198,4057,1616,645,300,152,88,163,7.6,6.9,7.5,7.6,7.8,18337,7,4150,10972,2181
Godzilla,1954,females,7.4,314,285,624,553,195,132,35,29,9,43,7.4,8.4,7.5,7.3,7.3,2219,6,442,1027,654
Psycho,1960,females,8.4,21933,24749,24497,11939,4167,1866,872,408,287,649,8.4,8.2,8.5,8.4,8.5,91367,82,23989,46082,15597
American Psycho,2000,females,7.5,9161,10200,19204,16193,7154,2966,1363,758,593,897,7.5,7.8,7.6,7.5,7.2,68489,48,19957,38080,6537
The Invisible Man,1933,females,7.5,383,351,870,729,304,125,52,16,10,251,7.5,8.1,7.5,7.5,7.6,3091,6,495,1298,1178
Zombieland,2009,females,7.6,9823,10277,19417,14994,6442,2472,1099,577,383,614,7.6,7.2,7.5,7.6,7.6,66098,38,19753,36025,6144
The Lighthouse,2019,females,7.0,1256,1965,3603,3320,1835,963,517,386,320,521,7.0,7.9,7.4,6.9,6.5,14686,29,5036,6316,1877
28 Days Later...,2002,females,7.6,6594,7094,13423,10380,4607,1929,827,474,372,525,7.6,7.1,7.4,7.6,7.6,46225,21,8932,28912,6157
The Skin I Live In,2011,females,7.8,4448,6089,9906,6797,2498,972,446,287,202,331,7.8,7.8,7.9,7.7,7.5,31976,5,7871,19467,2950
Train to Busan,2016,females,7.8,3967,3902,6786,4723,1567,508,204,111,68,99,7.8,7.3,7.9,7.7,7.9,21935,35,7390,9726,2067
The Others,2001,females,7.7,9952,11416,21451,15380,6171,2327,874,445,271,385,7.7,7.7,7.7,7.7,7.8,68672,25,13934,41968,9434
Last Night in Soho,2021,females,7.3,589,657,1444,1458,713,246,123,64,36,60,7.3,5.9,7.3,7.2,7.2,5390,20,1874,2336,615
Planet Terror,2007,females,7.1,2283,2070,4160,4294,2260,1057,536,338,270,540,7.1,7.0,7.0,7.2,6.9,17808,3,2722,12240,2113
The Cabin in the Woods,2011,females,6.8,6810,6512,11122,12571,8132,4930,3025,2121,1682,3013,6.8,6.9,6.6,6.8,7.0,59918,39,17110,32534,5922
Orphan,2009,females,7.0,4837,4711,9946,12477,6955,2983,1289,632,444,536,7.0,6.9,7.1,7.0,7.0,44810,39,15237,23156,3624
A Girl Walks Home Alone at Night,2014,females,7.3,588,765,1536,1438,664,301,123,88,60,109,7.3,6.3,7.4,7.2,7.3,5672,3,1613,3038,704
Green Room,2015,females,6.7,574,753,1989,3029,1987,1009,484,288,190,265,6.7,7.4,6.8,6.6,6.5,10568,11,2967,5474,1236
The Killing of a Sacred Deer,2017,females,6.8,1173,2042,4508,5540,2916,1431,747,520,490,1097,6.8,7.1,7.1,6.7,6.2,20464,17,6483,9760,2256
The Platform,2019,females,7.0,1368,2085,4416,5978,3079,1299,560,309,210,485,7.0,7.5,7.1,7.0,6.6,19789,46,7330,8771,1341
Thelma,2017,females,7.1,422,538,1311,1554,844,308,130,51,37,79,7.1,8.0,7.3,7.0,6.7,5274,3,1707,2592,523
From Hell,2001,females,6.9,2729,2357,5359,7743,4722,1951,752,404,168,242,6.9,7.0,6.9,6.9,7.0,26427,10,4160,17489,3746
Raw,2016,females,6.9,570,803,2059,2416,1330,645,328,188,132,250,6.9,7.0,7.1,6.8,6.6,8721,12,3408,3832,662
Dead Calm,1989,females,6.7,373,306,866,1538,992,387,185,74,52,59,6.7,10.0,6.4,6.6,7.0,4832,1,395,2438,1812
Scanners,1981,females,6.7,255,225,634,1034,693,356,137,75,44,57,6.7,7.0,6.8,6.6,6.8,3510,2,417,1906,1052
Phenomena,1985,females,6.7,269,191,423,677,441,209,98,73,48,51,6.7,6.0,7.0,6.7,6.6,2480,1,404,1476,492
eXistenZ,1999,females,6.7,688,836,1689,2339,1561,757,402,239,189,372,6.7,3.0,6.8,6.7,6.5,9072,1,871,5778,2107
Ginger Snaps,2000,females,7.0,1565,940,1808,2162,1315,617,312,159,115,159,7.0,6.5,7.1,7.0,6.9,9152,2,1740,5739,1269
