Name,Year,Rate,Genre,Country
Deep Red,1975,7.6,"Horror,Mystery,Thriller",Italy
The Wailing,2016,7.5,"Horror,Mystery,Thriller",South Korea
Psycho,1960,8.5,"Horror,Mystery,Thriller",United States
A Quiet Place,2018,7.5,"Drama,Horror,Sci-Fi",United States
The Lighthouse,2019,7.5,"Drama,Fantasy,Horror,Mystery",Canada
The Fly,1986,7.6,"Drama,Horror,Sci-Fi",United States
American Psycho,2000,7.6,"Crime,Drama,Horror",United States
Godzilla,1954,7.6,"Horror,Sci-Fi",Japan
The Others,2001,7.6,"Horror,Mystery,Thriller",Spain
28 Days Later...,2002,7.6,"Drama,Horror,Sci-Fi,Thriller",United Kingdom
Zombieland,2009,7.6,"Action,Comedy,Horror",United States
Train to Busan,2016,7.6,"Action,Horror,Thriller",South Korea
The Invisible Man,1933,7.7,"Horror,Sci-Fi",United States
Saw,2004,7.6,"Horror,Mystery,Thriller",United States
10 Cloverfield Lane,2016,7.2,"Action,Drama,Horror,Sci-Fi,Thriller",United States
The Skin I Live In,2011,7.6,"Drama,Horror,Thriller",Spain
Stree,2018,7.6,"Comedy,Horror",India
Invasion of the Body Snatchers,1956,7.7,"Drama,Horror,Sci-Fi",United States
The Wolf Man,1941,7.3,"Horror,Mystery,Romance",United States
Last Night in Soho,2021,7.2,"Drama,Horror,Mystery,Thriller",United Kingdom
Gremlins,1984,7.3,"Comedy,Fantasy,Horror",United States
The Return of the Living Dead,1985,7.3,"Comedy,Horror,Sci-Fi",United States
Tucker and Dale vs Evil,2010,7.5,"Comedy,Horror",Canada
Angel Heart,1987,7.3,"Horror,Mystery,Thriller",United Kingdom
They Live,1988,7.3,"Action,Horror,Sci-Fi,Thriller",United States
The Lost Boys,1987,7.3,"Comedy,Horror",United States
Dead Ringers,1988,7.3,"Drama,Horror,Thriller",Canada
Twin Peaks: Fire Walk with Me,1992,7.3,"Drama,Horror,Mystery,Thriller",France
Scream,1996,7.3,"Horror,Mystery",United States
Cloverfield,2008,7.0,"Action,Horror,Sci-Fi,Thriller",United States
World War Z,2013,7.0,"Action,Adventure,Horror,Sci-Fi",United States
Orphan,2009,7.0,"Horror,Mystery,Thriller",United States
The Cabin in the Woods,2011,7.0,"Horror,Mystery,Thriller",United States
A Girl Walks Home Alone at Night,2014,7.0,"Drama,Horror,Romance,Thriller",United States
Trollhunter,2010,7.0,"Drama,Fantasy,Horror,Sci-Fi,Thriller",Norway
The Killing of a Sacred Deer,2017,7.0,"Drama,Horror,Mystery,Thriller",Ireland
Raw,2016,7.0,"Drama,Horror",France
Green Room,2015,7.0,"Horror,Thriller",United States
The Platform,2019,7.0,"Horror,Sci-Fi,Thriller",Spain
Planet Terror,2007,7.0,"Action,Comedy,Fantasy,Horror,Romance,Sci-Fi,Thriller",United States
Thelma,2017,7.0,"Drama,Fantasy,Horror,Mystery,Romance,Sci-Fi,Thriller",Norway
The Thing from Another World,1951,7.1,"Horror,Sci-Fi",United States
Day of the Dead,1985,7.1,"Horror,Thriller",United States
The Mummy,1932,7.1,"Fantasy,Horror",United States
The Fog,1980,6.8,"Horror,Thriller",United States
Hellboy II: The Golden Army,2008,7.0,"Action,Adventure,Fantasy,Horror,Mystery,Sci-Fi",United States
From Hell,2001,6.8,"Horror,Mystery,Thriller",United States
Scanners,1981,6.8,"Horror,Sci-Fi,Thriller",Canada
Phenomena,1985,6.8,"Crime,Horror,Mystery",Italy
Poltergeist,1982,7.3,"Horror,Thriller",United States
eXistenZ,1999,6.8,"Horror,Mystery,Sci-Fi,Thriller",United Kingdom
Ginger Snaps,2000,6.8,"Drama,Fantasy,Horror",Canada
High Tension,2003,6.8,Horror,France
Dead Calm,1989,6.8,"Horror,Thriller",Australia
The Devil's Rejects,2005,6.8,"Crime,Horror,Western",United States
Climax,2018,7.0,"Drama,Horror,Music,Thriller",France
The Loved Ones,2009,6.6,"Crime,Drama,Horror,Romance,Thriller",Australia
Halloween,2018,6.6,"Crime,Horror,Thriller",United States
Dog Soldiers,2002,6.8,"Action,Horror,Thriller",United Kingdom
