Name,Year,User_Type,Rating,vote10m,vote9m,vote8m,vote7m,vote6m,vote5m,vote4m,vote3m,vote2m,vote1m,Rate_Male,Rate_<18m,Rate_18-29m,Rate_30-44m,Rate_45+m,Number_Male,Number_<18m,Number_18-29m,Number_30-44m,Number_45+m
The Fly,1986,males,7.6,10089,15490,39687,32512,11422,3703,1404,717,373,593,7.6,8.0,7.7,7.6,7.5,115990,46,14846,69205,26819
The Wailing,2016,males,7.5,3252,5868,11518,9438,4029,1759,772,445,246,426,7.5,7.5,7.8,7.4,7.0,37753,22,9020,20925,4842
Godzilla,1954,males,7.5,3639,2717,5979,5475,2422,971,368,175,115,199,7.5,7.9,7.8,7.5,7.3,22060,22,4287,11380,5385
The Lighthouse,2019,males,7.4,9869,15295,26698,21611,10956,5347,2728,1713,1152,1782,7.4,8.3,7.9,7.3,6.7,97151,190,29063,45686,12876
Psycho,1960,males,8.5,88505,103803,98779,46092,14826,5504,2276,1269,830,2962,8.5,8.9,8.6,8.5,8.5,364846,263,74742,195130,73595
Zombieland,2009,males,7.6,37842,53112,119305,91532,32752,10541,3870,1993,1210,2192,7.6,7.6,7.6,7.6,7.4,354349,200,84472,207019,41049
28 Days Later...,2002,males,7.6,25707,39386,87101,67319,24639,8982,3815,1979,1168,1982,7.6,7.7,7.5,7.6,7.4,262078,72,41511,167904,40519
Saw,2004,males,7.6,35552,41257,84401,57962,21239,8874,4081,2419,1728,3851,7.6,8.0,7.6,7.7,7.3,261364,150,50629,168818,29778
Tucker and Dale vs Evil,2010,males,7.5,13237,16872,40162,33505,12692,4139,1441,720,369,713,7.5,7.6,7.5,7.5,7.5,123850,23,24026,78084,16045
A Quiet Place,2018,males,7.5,21160,36747,79607,63485,25836,9900,4473,2614,1662,2828,7.5,7.6,7.6,7.4,7.3,248312,332,64292,123226,32653
Invasion of the Body Snatchers,1956,males,7.7,3879,4909,11130,7800,2867,989,328,176,88,246,7.7,8.3,7.7,7.6,7.9,32412,10,3418,15878,12072
The Skin I Live In,2011,males,7.6,7267,13851,30058,21498,8143,3196,1387,768,489,1036,7.6,7.7,7.8,7.6,7.3,87693,21,14823,55092,13700
The Invisible Man,1933,males,7.7,2654,3030,7384,5652,2134,709,285,97,66,401,7.7,7.9,7.8,7.6,7.6,22412,20,3293,10626,7640
Stree,2018,males,7.5,3068,3028,4663,3756,1493,570,217,149,91,268,7.5,7.6,7.7,7.4,6.6,17303,35,6502,6977,495
The Others,2001,males,7.6,19329,30187,68193,53259,20063,6959,2640,1260,759,1318,7.6,8.0,7.6,7.5,7.6,203967,65,30066,127170,37825
Train to Busan,2016,males,7.5,9578,14989,35996,30930,11230,3708,1408,673,421,670,7.5,8.1,7.7,7.4,7.4,109603,147,28852,56525,13614
10 Cloverfield Lane,2016,males,7.2,8718,17844,56121,64945,26979,8871,3163,1621,891,1584,7.2,7.3,7.4,7.2,7.1,190737,75,44247,104151,26055
The Wolf Man,1941,males,7.3,1919,1722,4453,5399,2572,976,330,143,66,91,7.3,7.3,7.3,7.2,7.3,17671,18,2318,8644,6051
Poltergeist,1982,males,7.3,8879,10577,27191,27248,12070,4533,1908,916,498,755,7.3,7.5,7.1,7.3,7.6,94575,64,12404,51702,25954
Dead Ringers,1988,males,7.2,2730,3580,7664,7986,4118,1710,744,374,257,338,7.2,7.4,7.4,7.3,7.1,29501,7,3367,15971,9138
Last Night in Soho,2021,males,7.1,1951,3117,8632,9336,4692,1830,778,384,230,388,7.1,8.0,7.3,7.0,7.1,31338,66,9245,14755,4362
Sweeney Todd: The Demon Barber of Fleet Street,2007,males,7.3,24690,26640,52638,48575,23866,10479,4958,2760,1824,3579,7.3,7.8,7.5,7.3,6.9,200009,46,36076,130686,24862
They Live,1988,males,7.3,9446,9096,21935,24780,11834,4569,1745,873,456,654,7.3,7.8,7.3,7.3,7.2,85388,34,11561,49359,20408
Dawn of the Dead,2004,males,7.3,17052,19245,49195,50698,21476,7489,3016,1475,886,1744,7.3,7.0,7.2,7.3,7.3,172276,41,26135,112880,25991
Angel Heart,1987,males,7.3,5479,7057,16230,17041,7850,3101,1120,539,296,506,7.3,7.0,7.2,7.2,7.4,59219,8,4856,32166,20001
The Return of the Living Dead,1985,males,7.3,6286,4355,9765,10867,5295,2030,879,449,268,382,7.3,7.3,7.4,7.3,7.3,40576,6,3998,24050,10844
Scream,1996,males,7.2,19910,18713,43859,54970,25825,9786,4110,2174,1452,2279,7.2,8.1,7.5,7.2,7.1,183078,151,29690,114557,30193
Sleepy Hollow,1999,males,7.3,14752,21222,59646,63895,26875,9276,3226,1368,731,855,7.3,7.3,7.3,7.3,7.3,201846,44,26456,129413,37361
World War Z,2013,males,6.9,24468,32227,92848,133090,70019,27185,10870,5520,3029,4490,6.9,7.1,7.0,6.9,6.9,403746,183,95128,219136,52681
An American Crime,2007,males,7.2,1596,2008,5261,5941,2580,900,379,179,142,245,7.2,9.0,7.3,7.2,7.1,19231,2,2101,12788,3770
Twin Peaks: Fire Walk with Me,1992,males,7.2,7548,6950,13377,14800,7681,3566,1692,1028,603,846,7.2,7.3,7.5,7.2,7.0,58091,27,8707,33122,13632
The Fog,1980,males,6.8,3782,3317,8897,14742,9854,4142,1660,795,368,398,6.8,7.0,6.7,6.7,6.9,47955,22,4727,26104,15171
Cloverfield,2008,males,7.0,27833,30528,62746,71559,37877,17096,8333,4967,3593,7844,7.0,7.0,7.0,7.1,6.8,272376,66,40734,179916,40340
Orphan,2009,males,6.9,7942,9370,25125,37373,19493,7810,3260,1607,926,1422,6.9,7.1,7.0,6.9,6.8,114328,63,25167,68949,14275
Scanners,1981,males,6.8,1942,2246,7102,12607,8122,3124,1223,558,270,310,6.8,6.9,6.8,6.8,6.8,37504,8,3739,21184,11078
Planet Terror,2007,males,7.1,13608,15831,37299,41504,21538,9635,4494,2666,1743,3074,7.1,6.4,7.0,7.1,6.9,151392,21,17488,105557,22771
Dead Calm,1989,males,6.8,1101,1343,4821,9110,5486,2031,717,281,151,193,6.8,7.2,6.7,6.7,6.9,25234,4,1179,12505,10752
Ginger Snaps,2000,males,6.7,2224,2005,5042,7566,5029,2319,1005,493,356,527,6.7,6.8,7.0,6.7,6.7,26566,5,2555,16205,6892
Phenomena,1985,males,6.8,1451,1410,3303,4832,3187,1561,738,396,255,249,6.8,6.8,6.9,6.8,6.6,17382,7,1762,10132,4889
High Tension,2003,males,6.8,3949,4216,9662,13079,8093,3840,2063,1161,793,1326,6.8,7.1,6.6,6.8,6.7,48182,10,4755,32703,9143
From Hell,2001,males,6.8,4326,5466,17747,33112,20168,7628,2895,1230,619,769,6.8,5.4,6.7,6.7,6.8,93960,7,8061,63217,19415
Dog Soldiers,2002,males,6.8,3726,3534,8679,11845,6967,3150,1497,877,477,744,6.8,9.7,6.8,6.7,6.9,41496,3,3461,26491,10197
The Loved Ones,2009,males,6.6,1547,1805,4722,7538,5084,2363,1123,621,417,628,6.6,6.0,6.7,6.6,6.6,25848,6,4219,16184,4364
Halloween,2018,males,6.5,5062,4547,12770,21626,16881,8420,3869,2067,1166,1802,6.5,6.8,6.7,6.5,6.4,78210,123,18553,40008,11683
eXistenZ,1999,males,6.8,4060,5977,14405,19535,11799,5266,2648,1420,921,1343,6.8,6.8,6.9,6.9,6.7,67374,7,5132,43195,16988
