Rank,Name,Year
1,Psycho,1960
2,The Shining,1980
3,Alien,1979
4,Tumbbad,2018
5,Demon Slayer: Mugen Train,2020
6,The Blue Elephant,2014
7,The Thing,1982
8,What Ever Happened to Baby Jane?,1962
9,Diabolique,1955
10,The Cabinet of Dr. Caligari,1920
11,The Exorcist,1973
12,Rosemary's Baby,1968
13,Let the Right One In,2008
14,Shaun of the Dead,2004
15,Dawn of the Dead,1978
16,Night of the Living Dead,1968
17,King Kong,1933
18,Freaks,1932
19,Nosferatu,1922
20,I Saw the Devil,2010
21,Predator,1987
22,The Innocents,1961
23,The Bride of Frankenstein,1935
24,Frankenstein,1931
25,Get Out,2017
26,What We Do in the Shadows,2014
27,Vampire Hunter D: Bloodlust,2000
28,Evil Dead II,1987
29,Halloween,1978
30,Repulsion,1965
31,The Birds,1963
32,Peeping Tom,1960
33,Eyes Without a Face,1960
34,Invasion of the Body Snatchers,1956
35,The Invisible Man,1933
36,Stree,2018
37,Train to Busan,2016
38,The Skin I Live In,2011
39,Zombieland,2009
40,Saw,2004
41,28 Days Later...,2002
42,The Others,2001
43,American Psycho,2000
44,The Fly,1986
45,Deep Red,1975
46,The Lighthouse,2019
47,A Quiet Place,2018
48,The Wailing,2016
49,Tucker and Dale vs Evil,2010
50,The Conjuring,2013
51,Grindhouse,2007
52,Interview with the Vampire: The Vampire Chronicles,1994
53,Army of Darkness,1992
54,Dead Alive,1992
55,Jacob's Ladder,1990
56,A Nightmare on Elm Street,1984
57,The Evil Dead,1981
58,An American Werewolf in London,1981
59,Nosferatu the Vampyre,1979
60,The Omen,1976
61,The Texas Chain Saw Massacre,1974
62,The Wicker Man,1973
63,The Haunting,1963
64,Dracula,1931
65,REC,2007
66,The Orphanage,2007
67,The Devil's Backbone,2001
68,Pi,1998
69,Thesis,1996
70,Dracula,1992
71,Possession,1981
72,Invasion of the Body Snatchers,1978
73,Suspiria,1977
74,House,1977
75,Eraserhead,1977
76,Carrie,1976
77,The Rocky Horror Picture Show,1975
78,A Quiet Place Part II,2020
79,Hereditary,2018
80,Doctor Sleep,2019
81,Split,2016
82,The Conjuring 2,2016
83,It,2017
84,An American Crime,2007
85,Sweeney Todd: The Demon Barber of Fleet Street,2007
86,Dawn of the Dead,2004
87,Sleepy Hollow,1999
88,Scream,1996
89,Twin Peaks: Fire Walk with Me,1992
90,They Live,1988
91,Dead Ringers,1988
92,The Lost Boys,1987
93,Angel Heart,1987
94,The Return of the Living Dead,1985
95,Gremlins,1984
96,Poltergeist,1982
97,The Wolf Man,1941
98,Last Night in Soho,2021
99,10 Cloverfield Lane,2016
100,The Descent,2005
101,A Tale of Two Sisters,2003
102,Audition,1999
103,Ringu,1998
104,Cube,1997
105,From Dusk Till Dawn,1996
106,In the Mouth of Madness,1994
107,Re-Animator,1985
108,Videodrome,1983
109,The Dead Zone,1983
110,The Changeling,1980
111,Black Christmas,1974
112,Don't Look Now,1973
113,The Fearless Vampire Killers,1967
114,Midsommar,2019
115,Don't Breathe,2016
116,Bone Tomahawk,2015
117,Let Me In,2010
118,The Call,2020
119,The Invisible Man,2020
120,Martyrs,2008
121,Bhoot Police,2021
122,The Mist,2007
123,Hotel Transylvania,2012
124,Thirst,2009
125,The Host,2006
126,Shutter,2004
127,The Ring,2002
128,Pitch Black,2000
129,Blade,1998
130,The Frighteners,1996
131,Tremors,1990
132,Little Shop of Horrors,1986
133,Fright Night,1985
134,Day of the Dead,1985
135,The Thing from Another World,1951
136,The Mummy,1932
137,Climax,2018
138,The Platform,2019
139,Thelma,2017
140,The Killing of a Sacred Deer,2017
141,Raw,2016
142,Green Room,2015
143,A Girl Walks Home Alone at Night,2014
144,Trollhunter,2010
145,The Cabin in the Woods,2011
146,Orphan,2009
147,Planet Terror,2007
148,Cloverfield,2008
149,World War Z,2013
150,Hellboy II: The Golden Army,2008
151,Constantine,2005
152,Ichi the Killer,2001
153,Bubba Ho-Tep,2002
154,Brotherhood of the Wolf,2001
155,Stir of Echoes,1999
156,Ravenous,1999
157,Henry: Portrait of a Serial Killer,1986
158,Near Dark,1987
159,The Monster Squad,1987
160,Hellraiser,1987
161,Creature from the Black Lagoon,1954
162,Ready or Not,2019
163,Under the Shadow,2016
164,The Witch,2015
165,Frankenweenie,2012
166,28 Weeks Later,2007
167,Shadow of the Vampire,2000
168,Hocus Pocus,1993
169,The Witches,1990
170,Night of the Living Dead,1990
171,Creepshow,1982
172,Altered States,1980
173,Us,2019
174,I See You,2019
175,Shin Godzilla,2016
176,The House That Jack Built,2018
177,Housebound,2014
178,The Autopsy of Jane Doe,2016
179,It Follows,2014
180,Annihilation,2018
181,The Babadook,2014
182,Sinister,2012
183,Stonehearst Asylum,2014
184,Odd Thomas,2013
185,Insidious,2010
186,Warm Bodies,2013
187,Eden Lake,2008
188,Trick 'r Treat,2007
189,1408,2007
190,The Devil's Rejects,2005
191,High Tension,2003
192,Dog Soldiers,2002
193,Ginger Snaps,2000
194,eXistenZ,1999
195,From Hell,2001
196,Dead Calm,1989
197,Phenomena,1985
198,Scanners,1981
199,The Fog,1980
200,Zombie,1979
201,The Brood,1979
202,House on Haunted Hill,1959
203,Fear Street: Part Two - 1978,2021
204,Saint Maud,2019
205,Marrowbone,2017
206,Summer of 84,2018
207,Turbo Kid,2015
208,Spring,2014
209,Goodnight Mommy,2014
210,Hotel Transylvania 2,2015
211,The Call,2013
212,Zombieland: Double Tap,2019
213,Los ojos de Julia,2010
214,Rare Exports,2010
215,Pandorum,2009
216,Suspiria,2018
217,Inside,2007
218,Fido,2006
219,The Exorcism of Emily Rose,2005
220,Ju-on: The Grudge,2002
221,The Eye,2002
222,Dark Water,2002
223,The Gift,2000
224,Final Destination,2000
225,Blade II,2002
226,Resident Evil,2002
227,Event Horizon,1997
228,Cronos,1993
229,Candyman,1992
230,Prince of Darkness,1987
231,From Beyond,1986
232,Return to Oz,1985
233,Christine,1983
234,Phantasm,1979
235,Fear Street: Part Three - 1666,2021
236,Mandy,2018
237,Life,2017
238,Happy Death Day,2017
239,Mother!,2017
240,Hush,2016
241,The Girl with All the Gifts,2016
242,Overlord,2018
243,Bird Box,2018
244,Insidious: Chapter 2,2013
245,The Final Girls,2015
246,You're Next,2011
247,Halloween,2018
248,The Loved Ones,2009
249,Pontypool,2008
250,Antichrist,2009
251,Saw II,2005
252,30 Days of Night,2007
253,May,2002
254,What Lies Beneath,2000
255,Death Becomes Her,1992
256,Flatliners,1990
257,Pet Sematary,1989
258,Child's Play,1988
259,The Blob,1988
260,The Witches of Eastwick,1987
261,A Nightmare on Elm Street 3: Dream Warriors,1987
262,The Howling,1981
263,The Night House,2020
264,His House,2020
265,The Hunt,2020
266,It Chapter Two,2019
267,Possessor,2020
268,Annabelle: Creation,2017
269,Better Watch Out,2016
270,The Endless,2017
271,Gerald's Game,2017
272,Time Lapse,2014
273,Crimson Peak,2015
274,Oculus,2013
275,Sightseers,2012
276,The Awakening,2011
277,Byzantium,2012
278,Stake Land,2010
279,Evil Dead,2013
280,Host,2020
281,[Rec]²,2009
282,Resident Evil: Degeneration,2008
283,Drag Me to Hell,2009
284,The Last House on the Left,2009
285,Severance,2006
286,The Crazies,2010
287,Slither,2006
288,Tideland,2005
289,Day Watch,2006
290,The Skeleton Key,2005
291,Silent Hill,2006
292,Dead End,2003
293,The Blair Witch Project,1999
294,The Faculty,1998
295,The Prophecy,1995
296,New Nightmare,1994
297,Alien 3,1992
298,The Exorcist III,1990
299,Hellbound: Hellraiser II,1988
300,Bad Taste,1987
301,Twilight Zone: The Movie,1983
302,Psycho II,1983
303,Halloween II,1981
304,Unsane,2018
305,Revenge,2017
